Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2014-12-01,Interstellar,2014,http://letterboxd.com/radbot/film/interstellar/,4.5,,2014-11-07
2014-12-01,In Bruges,2008,http://letterboxd.com/radbot/film/in-bruges/,4.5,,2014-11-16
2014-12-02,Gone Girl,2014,http://letterboxd.com/radbot/film/gone-girl/,5,,2014-11-23
2014-12-01,Birdman,2014,http://letterboxd.com/radbot/film/birdman/,5,theaters,2014-11-30
2014-12-07,Inside Llewyn Davis,2013,http://letterboxd.com/radbot/film/inside-llewyn-davis/,5,,2014-12-06
2014-12-14,Primer,2004,http://letterboxd.com/radbot/film/primer/,5,,2014-12-13
2014-12-15,Sunshine,2007,http://letterboxd.com/radbot/film/sunshine-2007/,3,,2014-12-14
2014-12-21,Short Term 12,2013,http://letterboxd.com/radbot/film/short-term-12-2013/,4.5,,2014-12-21
2014-12-22,Eternal Sunshine of the Spotless Mind,2004,http://letterboxd.com/radbot/film/eternal-sunshine-of-the-spotless-mind/,5,,2014-12-21
2014-12-23,Under the Skin,2014,http://letterboxd.com/radbot/film/under-the-skin-2014/,5,,2014-12-22
2014-12-25,Snowpiercer,2013,http://letterboxd.com/radbot/film/snowpiercer/,2.5,,2014-12-24
2014-12-26,Upstream Color,2013,http://letterboxd.com/radbot/film/upstream-color/,4.5,,2014-12-25
2014-12-30,Zodiac,2007,http://letterboxd.com/radbot/film/zodiac/,5,,2014-12-29
2015-01-10,The Social Network,2010,http://letterboxd.com/radbot/film/the-social-network/,5,,2015-01-09
2015-01-14,American Psycho,2000,http://letterboxd.com/radbot/film/american-psycho/,5,,2015-01-13
2015-01-17,Whiplash,2014,http://letterboxd.com/radbot/film/whiplash-2014/,5,,2015-01-16
2015-01-20,Se7en,1995,http://letterboxd.com/radbot/film/se7en/,5,,2015-01-19
2015-02-08,2001: A Space Odyssey,1968,http://letterboxd.com/radbot/film/2001-a-space-odyssey/,5,,2015-02-06
2015-02-22,Boyhood,2014,http://letterboxd.com/radbot/film/boyhood/,2.5,,2015-02-21
2015-02-22,The Theory of Everything,2014,http://letterboxd.com/radbot/film/the-theory-of-everything-2014/,4,,2015-02-21
2015-02-22,The Imitation Game,2014,http://letterboxd.com/radbot/film/the-imitation-game/,3,,2015-02-21
2015-02-22,American Sniper,2014,http://letterboxd.com/radbot/film/american-sniper/,1.5,,2015-02-21
2015-03-07,Nightcrawler,2014,http://letterboxd.com/radbot/film/nightcrawler/,5,,2015-03-06
2015-03-22,Children of Men,2006,http://letterboxd.com/radbot/film/children-of-men/,5,,2015-03-20
2015-04-01,Over the Garden Wall,2014,http://letterboxd.com/radbot/film/over-the-garden-wall-2014/,3.5,,2015-03-29
2015-04-18,Prisoners,2013,http://letterboxd.com/radbot/film/prisoners/,5,,2015-04-17
2015-04-26,Full Metal Jacket,1987,http://letterboxd.com/radbot/film/full-metal-jacket/,5,,2015-04-25
2015-05-08,Ex Machina,2015,http://letterboxd.com/radbot/film/film:187986/,4.5,,2015-05-05
2015-05-15,Life Is Beautiful,1997,http://letterboxd.com/radbot/film/life-is-beautiful/,4,,2015-05-13
2015-05-18,Mad Max: Fury Road,2015,http://letterboxd.com/radbot/film/mad-max-fury-road/,5,,2015-05-17
2015-05-27,Predestination,2014,http://letterboxd.com/radbot/film/predestination/,4,,2015-05-24
2015-06-03,Little Buddha,1993,http://letterboxd.com/radbot/film/little-buddha/,1,,2015-06-02
2015-06-06,The Devil's Arithmetic,1999,http://letterboxd.com/radbot/film/the-devils-arithmetic/,0.5,,2015-06-05
2015-06-12,The Boy in the Striped Pajamas,2008,http://letterboxd.com/radbot/film/the-boy-in-the-striped-pajamas/,1,,2015-06-11
2015-06-22,Inside Out,2015,http://letterboxd.com/radbot/film/inside-out-2015/,5,,2015-06-21
2015-06-27,Jurassic World,2015,http://letterboxd.com/radbot/film/jurassic-world/,2,,2015-06-26
2015-07-08,World of Tomorrow,2015,http://letterboxd.com/radbot/film/world-of-tomorrow/,5,,2015-07-08
2015-07-29,Pi,1998,http://letterboxd.com/radbot/film/pi/,4,,2015-07-28
2015-08-03,Mission: Impossible â€“ Rogue Nation,2015,http://letterboxd.com/radbot/film/mission-impossible-rogue-nation/,4,,2015-08-02
2015-08-16,The Assassination of Jesse James by the Coward Robert Ford,2007,http://letterboxd.com/radbot/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/,5,,2015-08-16
2015-08-20,"Synecdoche, New York",2008,http://letterboxd.com/radbot/film/synecdoche-new-york/,5,,2015-08-19
2015-08-24,The Hunt,2012,http://letterboxd.com/radbot/film/the-hunt-2012/,5,,2015-08-23
2015-08-25,Enter the Void,2009,http://letterboxd.com/radbot/film/enter-the-void/,5,,2015-08-24
2015-08-27,There Will Be Blood,2007,http://letterboxd.com/radbot/film/there-will-be-blood/,5,,2015-08-26
2015-08-30,No Country for Old Men,2007,http://letterboxd.com/radbot/film/no-country-for-old-men/,5,,2015-08-28
2015-09-01,The Darjeeling Limited,2007,http://letterboxd.com/radbot/film/the-darjeeling-limited/,4,,2015-08-31
2015-09-02,Lost in Translation,2003,http://letterboxd.com/radbot/film/lost-in-translation/,5,,2015-09-01
2015-09-04,Dear Zachary: A Letter to a Son About His Father,2008,http://letterboxd.com/radbot/film/dear-zachary-a-letter-to-a-son-about-his-father/,4.5,,2015-09-03
2015-09-05,Taxi Driver,1976,http://letterboxd.com/radbot/film/taxi-driver/,5,,2015-09-04
2015-10-18,The Martian,2015,http://letterboxd.com/radbot/film/the-martian/,3.5,,2015-10-11
2015-10-20,Spy,2015,http://letterboxd.com/radbot/film/spy/,3,,2015-10-18
2015-11-14,What We Do in the Shadows,2014,http://letterboxd.com/radbot/film/what-we-do-in-the-shadows/,4,,2015-11-13
2015-11-30,Creed,2015,http://letterboxd.com/radbot/film/creed/,4.5,,2015-11-28
2015-12-26,Team America: World Police,2004,http://letterboxd.com/radbot/film/team-america-world-police/,4.5,,2015-12-24
2015-12-31,Star Wars: The Force Awakens,2015,http://letterboxd.com/radbot/film/star-wars-the-force-awakens/,4.5,,2015-12-28
2016-01-02,Sicario,2015,http://letterboxd.com/radbot/film/sicario-2015/,5,,2015-12-31
2016-01-12,The Big Short,2015,http://letterboxd.com/radbot/film/the-big-short/,5,,2016-01-10
2016-01-18,The Revenant,2015,http://letterboxd.com/radbot/film/the-revenant-2015/,5,,2016-01-15
2016-01-23,It's Such a Beautiful Day,2012,http://letterboxd.com/radbot/film/its-such-a-beautiful-day/,5,,2016-01-22
2016-01-28,The Finest Hours,2016,http://letterboxd.com/radbot/film/the-finest-hours-2016/,1.5,,2016-01-27
2016-02-03,Turbo Kid,2015,http://letterboxd.com/radbot/film/turbo-kid/,3.5,,2016-02-02
2016-02-13,The Tree of Life,2011,http://letterboxd.com/radbot/film/the-tree-of-life-2011/,5,,2016-02-12
2016-02-14,The Master,2012,http://letterboxd.com/radbot/film/the-master-2012/,4.5,,2016-02-13
